Date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2018-1-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2625;2.9088;0.528;0.0;0.0;0.0237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0648;0.012;4.2054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5999;14.4024;13.4421;12.0891;12.4935;3.2883;1.1604;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9303;0.0;0.0;0.0;3.9171;0.0543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3321;0.7512;0.0;0.0;0.0;0.0;2.3922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3996;0.51;0.0;2.1351;6.3918;6.0969;1.5996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3945;1.419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3195;6.4134;15.5106;12.0423;7.9548;7.4505;1.1001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2017;5.3622;0.8688;0.7782;0.6048;0.327;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1188;1.9347;8.3274;2.8374;8.6589;11.6064;7.3005;1.6206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0095;5.9904;8.9805;3.5568;1.1736;1.7322;0.7236;0.2931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3813;3.9891;6.0021;3.1296;1.077;1.3044;0.8094;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.074;3.7599;7.365;10.0077;4.8513;1.1742;0.4008;0.0588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0362;5.7501;10.4922;8.94;3.6702;1.3638;4.3665;2.9823;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4434;3.0825;6.6459;7.1427;8.6988;5.0088;6.1437;2.8110000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1542;0.7908;1.7433;1.7256;0.8759999999999999;0.7422;0.4494;0.0903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9663;5.9259;11.412;10.6446;10.5384;6.3282;2.1975;1.1205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0077;4.6476;7.317;4.4457;3.7449;7.0908;3.7845;3.8931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5781;3.8819999999999997;8.1873;9.0834;7.9248;2.1948;1.5984;0.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4974;3.4686;4.9296;2.2062;5.4405;2.0406;1.9409999999999998;0.7473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5855;5.4411;9.8517;7.9257;4.2366;3.4314;2.8614;1.4889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5342;6.7764;12.2559;10.9677;10.1436;9.7302;7.0062;3.5685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8186;6.9969;12.6537;9.5067;6.2226;8.3658;2.9355;0.1572;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0828;2.9064;1.7544;1.7022;1.7946;1.6944;1.7478;1.8498;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5673;0.6162;4.388999999999999;1.0992;1.7112;1.0914;0.6924;0.5664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9048;1.3074;5.2431;3.9612;5.9325;8.1816;4.5087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6198;0.3636;10.0497;16.2819;2.8452;3.486;3.0162;4.4364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9261;0.36;5.6433;3.5892;5.7684;0.8706;0.9606;0.35100000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3537;7.7901;14.0133;1.632;7.8612;13.227;5.1903;3.3468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1521;1.275;14.6289;18.0702;18.410999999999998;17.1225;12.1695;6.4119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-1-31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21600000000000003;3.0989999999999998;13.1016;10.0068;14.5629;16.2321;12.2232;2.9010000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0662;3.8382;4.9446;2.4948;2.6886;2.4852;3.8412;2.1819;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1022;2.3904;7.0569;8.7201;6.7944;8.2842;4.7124;1.9806;0.3324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39299999999999996;2.6346;4.9188;8.0829;6.3846;5.0892;1.8156;1.0734;0.0867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8119999999999998;5.8602;14.0058;2.5998;2.6916;4.332;2.4828;5.5605;0.2166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.761;4.4781;5.8881;4.8822;5.667000000000001;5.1282;8.0565;1.8906;0.1179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8915;6.8076;10.6341;10.0029;13.3611;17.1543;13.4592;6.6447;1.5273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7038;8.1324;16.191;19.5441;18.7245;16.7511;11.2941;7.9698;1.5135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9275;3.0042;5.5635;8.1813;2.1972;1.8558;10.1583;4.5756;0.8595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8673;7.2261;13.9794;10.452;15.81;18.1116;13.8132;7.8456;2.3664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4374;3.9522;2.1114;1.8306;3.2466;2.0478;2.1486;4.3692;0.3648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0002;3.1032;2.8422;2.8362;5.0616;3.1806;5.4138;4.2765;1.521;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
