,date,shops,office_building,industrial_park
88,2020-01-01 22:00:00,19.256,41.184,8.927999999999999
89,2020-01-01 22:15:00,16.792,39.936,9.096
90,2020-01-01 22:30:00,18.396,39.624,8.064
91,2020-01-01 22:45:00,17.988,40.56,9.56
92,2020-01-01 23:00:00,19.067999999999998,40.248000000000005,9.612
93,2020-01-01 23:15:00,16.84,39.936,10.328
94,2020-01-01 23:30:00,16.195999999999998,40.56,8.792
95,2020-01-01 23:45:00,20.704,40.248000000000005,9.624
96,2020-01-02 00:00:00,13.68,40.248000000000005,12.035999999999998
97,2020-01-02 00:15:00,15.956,41.184,11.175999999999998
98,2020-01-02 00:30:00,20.636,40.56,11.172
99,2020-01-02 00:45:00,18.156,40.248000000000005,12.139999999999995
100,2020-01-02 01:00:00,15.86,40.248000000000005,10.56
101,2020-01-02 01:15:00,17.52,40.56,11.771999999999998
102,2020-01-02 01:30:00,17.067999999999998,40.872,10.136000000000001
103,2020-01-02 01:45:00,17.188000000000002,40.248000000000005,10.784
104,2020-01-02 02:00:00,15.844,40.56,11.512
105,2020-01-02 02:15:00,15.132,40.248000000000005,9.692
106,2020-01-02 02:30:00,17.299999999999994,40.248000000000005,11.916000000000002
107,2020-01-02 02:45:00,18.008,39.624,11.432
108,2020-01-02 03:00:00,15.6,39.936,13.132
109,2020-01-02 03:15:00,15.464,40.248000000000005,12.675999999999998
110,2020-01-02 03:30:00,20.412,40.248000000000005,21.892
111,2020-01-02 03:45:00,16.28,40.248000000000005,25.888
112,2020-01-02 04:00:00,17.520000000000003,40.872,20.664
113,2020-01-02 04:15:00,21.912,40.56,21.884
114,2020-01-02 04:30:00,21.687999999999995,40.248000000000005,25.471999999999998
115,2020-01-02 04:45:00,17.032,39.936,32.343999999999994
116,2020-01-02 05:00:00,17.584000000000003,40.248000000000005,24.688000000000002
117,2020-01-02 05:15:00,20.32,39.624,27.535999999999998
118,2020-01-02 05:30:00,20.0,39.936,59.468
119,2020-01-02 05:45:00,17.680000000000003,42.12,70.55199999999998
120,2020-01-02 06:00:00,22.831999999999997,42.12,83.81200000000001
121,2020-01-02 06:15:00,28.904000000000003,43.056000000000004,118.81999999999998
122,2020-01-02 06:30:00,23.500000000000004,44.303999999999995,130.05599999999998
123,2020-01-02 06:45:00,25.72,44.61600000000001,126.92
124,2020-01-02 07:00:00,25.18800000000001,44.61600000000001,133.6
125,2020-01-02 07:15:00,27.496,46.176,121.31999999999998
126,2020-01-02 07:30:00,23.072,47.424,138.76400000000004
127,2020-01-02 07:45:00,15.632,49.29600000000001,153.26
128,2020-01-02 08:00:00,19.464,52.728,143.42399999999995
129,2020-01-02 08:15:00,43.62799999999999,51.792,131.364
130,2020-01-02 08:30:00,77.77600000000001,48.672,115.18
131,2020-01-02 08:45:00,135.79999999999998,49.29600000000001,130.95600000000002
132,2020-01-02 09:00:00,184.204,50.544,117.32799999999996
133,2020-01-02 09:15:00,221.04000000000005,49.29600000000001,129.53599999999997
134,2020-01-02 09:30:00,203.972,49.608000000000004,139.27599999999998
135,2020-01-02 09:45:00,199.972,47.736000000000004,120.68
136,2020-01-02 10:00:00,179.196,47.736000000000004,129.32799999999997
137,2020-01-02 10:15:00,181.032,49.29600000000001,92.852
138,2020-01-02 10:30:00,180.02,48.672,105.22
139,2020-01-02 10:45:00,167.592,47.111999999999995,100.67199999999998
140,2020-01-02 11:00:00,165.14,48.048,105.376
141,2020-01-02 11:15:00,162.244,47.111999999999995,127.23199999999996
142,2020-01-02 11:30:00,173.83200000000005,47.111999999999995,129.22
143,2020-01-02 11:45:00,173.18800000000005,47.424,113.32799999999999
144,2020-01-02 12:00:00,165.08000000000004,47.424,126.79200000000002
145,2020-01-02 12:15:00,164.14,48.672,147.444
146,2020-01-02 12:30:00,164.12400000000002,46.488,121.36799999999998
147,2020-01-02 12:45:00,164.25200000000004,45.552,115.83200000000001
148,2020-01-02 13:00:00,154.10399999999996,47.111999999999995,111.10799999999999
149,2020-01-02 13:15:00,179.94400000000002,46.8,120.316
150,2020-01-02 13:30:00,174.476,48.048,95.74
151,2020-01-02 13:45:00,159.53600000000003,46.176,82.19199999999998
152,2020-01-02 14:00:00,157.332,45.864,74.812
153,2020-01-02 14:15:00,151.08000000000004,48.048,85.3
154,2020-01-02 14:30:00,147.93999999999997,47.424,88.58799999999998
155,2020-01-02 14:45:00,145.512,47.424,70.836
156,2020-01-02 15:00:00,146.624,47.424,66.872
157,2020-01-02 15:15:00,146.41199999999995,46.8,74.38799999999998
158,2020-01-02 15:30:00,145.47199999999995,49.92,76.24399999999999
159,2020-01-02 15:45:00,150.31199999999995,51.48,63.663999999999994
160,2020-01-02 16:00:00,151.64,51.48,58.93600000000001
161,2020-01-02 16:15:00,149.17600000000002,51.168,60.443999999999996
162,2020-01-02 16:30:00,157.66,51.792,64.316
163,2020-01-02 16:45:00,160.072,51.792,50.04800000000001
164,2020-01-02 17:00:00,165.93600000000004,50.232,54.88
165,2020-01-02 17:15:00,161.796,47.736000000000004,49.2
166,2020-01-02 17:30:00,166.73199999999997,46.8,44.56800000000001
